TIME,GEO,UNIT,DURATION,PARTNER,Value
2009,EU27,PC_POP,N_GE1,OUT,:
2009,EU27,PC_POP,N_GE1,WORLD,:
2009,EU27,PC_POP,N1-3,DOM,:
2009,EU27,PC_POP,N1-3,DOT,:
2009,EU27,PC_POP,N1-3,OUT,:
2009,EU27,PC_POP,N1-3,WORLD,:
2009,EU27,PC_POP,N_GE4,DOM,:
2009,EU27,PC_POP,N_GE4,DOT,:
2009,EU27,PC_POP,N_GE4,OUT,:
2009,EU27,PC_POP,N_GE4,WORLD,:
2009,EU25,PC_POP,N_GE1,DOM,:
2009,EU25,PC_POP,N_GE1,DOT,:
2009,EU25,PC_POP,N_GE1,OUT,:
2009,EU25,PC_POP,N_GE1,WORLD,:
2009,EU25,PC_POP,N1-3,DOM,:
2009,EU25,PC_POP,N1-3,DOT,:
2009,EU25,PC_POP,N1-3,OUT,:
2009,EU25,PC_POP,N1-3,WORLD,:
2009,EU25,PC_POP,N_GE4,DOM,:
2009,EU25,PC_POP,N_GE4,DOT,:
2009,EU25,PC_POP,N_GE4,OUT,:
2009,EU25,PC_POP,N_GE4,WORLD,:
2009,EA,PC_POP,N_GE1,DOM,:
2009,EA,PC_POP,N_GE1,DOT,:
2009,EA,PC_POP,N_GE1,OUT,:
2009,EA,PC_POP,N_GE1,WORLD,:
2009,EA,PC_POP,N1-3,DOM,:
2009,EA,PC_POP,N1-3,DOT,:
2009,EA,PC_POP,N1-3,OUT,:
2009,EA,PC_POP,N1-3,WORLD,:
2009,EA,PC_POP,N_GE4,DOM,:
2009,EA,PC_POP,N_GE4,DOT,:
2009,EA,PC_POP,N_GE4,OUT,:
2009,EA,PC_POP,N_GE4,WORLD,:
2009,BE,PC_POP,N_GE1,DOM,:
2009,BE,PC_POP,N_GE1,DOT,:
2009,BE,PC_POP,N_GE1,OUT,:
2009,BE,PC_POP,N_GE1,WORLD,:
2009,BE,PC_POP,N1-3,DOM,:
2009,BE,PC_POP,N1-3,DOT,:
2009,BE,PC_POP,N1-3,OUT,:
2009,BE,PC_POP,N1-3,WORLD,:
2009,BE,PC_POP,N_GE4,DOM,4.9
2009,BE,PC_POP,N_GE4,DOT,4.7
2009,BE,PC_POP,N_GE4,OUT,38
2009,BE,PC_POP,N_GE4,WORLD,47.6
2009,BG,PC_POP,N_GE1,DOM,:
2009,BG,PC_POP,N_GE1,DOT,:
2009,BG,PC_POP,N_GE1,OUT,:
2009,BG,PC_POP,N_GE1,WORLD,:
2009,BG,PC_POP,N1-3,DOM,:
2009,BG,PC_POP,N1-3,DOT,:
2009,BG,PC_POP,N1-3,OUT,:
2009,BG,PC_POP,N1-3,WORLD,:
2009,BG,PC_POP,N_GE4,DOM,18.3
2009,BG,PC_POP,N_GE4,DOT,:
2009,BG,PC_POP,N_GE4,OUT,4
2009,BG,PC_POP,N_GE4,WORLD,22.3
2009,CZ,PC_POP,N_GE1,DOM,:
2009,CZ,PC_POP,N_GE1,DOT,:
2009,CZ,PC_POP,N_GE1,OUT,:
2009,CZ,PC_POP,N_GE1,WORLD,:
2009,CZ,PC_POP,N1-3,DOM,:
2009,CZ,PC_POP,N1-3,DOT,:
2009,CZ,PC_POP,N1-3,OUT,:
2009,CZ,PC_POP,N1-3,WORLD,:
2009,CZ,PC_POP,N_GE4,DOM,29.4
2009,CZ,PC_POP,N_GE4,DOT,13.9
2009,CZ,PC_POP,N_GE4,OUT,10.5
2009,CZ,PC_POP,N_GE4,WORLD,53.7
2009,DK,PC_POP,N_GE1,DOM,:
2009,DK,PC_POP,N_GE1,DOT,:
2009,DK,PC_POP,N_GE1,OUT,:
2009,DK,PC_POP,N_GE1,WORLD,:
2009,DK,PC_POP,N1-3,DOM,:
2009,DK,PC_POP,N1-3,DOT,:
2009,DK,PC_POP,N1-3,OUT,:
2009,DK,PC_POP,N1-3,WORLD,:
2009,DK,PC_POP,N_GE4,DOM,10.2
2009,DK,PC_POP,N_GE4,DOT,8.4
2009,DK,PC_POP,N_GE4,OUT,46
2009,DK,PC_POP,N_GE4,WORLD,64.7
2009,DE,PC_POP,N_GE1,DOM,:
2009,DE,PC_POP,N_GE1,DOT,:
2009,DE,PC_POP,N_GE1,OUT,:
2009,DE,PC_POP,N_GE1,WORLD,:
2009,DE,PC_POP,N1-3,DOM,:
2009,DE,PC_POP,N1-3,DOT,:
2009,DE,PC_POP,N1-3,OUT,:
2009,DE,PC_POP,N1-3,WORLD,:
2009,DE,PC_POP,N_GE4,DOM,26.2
2009,DE,PC_POP,N_GE4,DOT,3.6
